thread_name,ts_string,target,latency,URL,timestamp,response_code,sample_id,bytes,result,func_name,sample_name,message,type,id,response_time
"Home-BATCH-ADMIN 1-1",2014-10-09_12-29,training.sailis.sa.gov.au,369,https://training.sailis.sa.gov.au/home/auth/login?redirect=aHR0cDovLzEyNy4wLjAuMTo4MDg1L2hvbWUvYmF0Y2hhZG1pbi9ob21l&messages=FpmbCnxNKgAiFvYiJKOkcSrSsIojYMke,"2014-10-09 12:30:30.005",200,653,12974,false,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,51,1011
"Home-BATCH-ADMIN 1-2",2014-10-09_12-29,training.sailis.sa.gov.au,274,https://training.sailis.sa.gov.au/home/auth/login?redirect=aHR0cDovLzEyNy4wLjAuMTo4MDg1L2hvbWUvYmF0Y2hhZG1pbi9ob21l&messages=QVseyWUbCUkkJbUFvUOlKgmDTZlkLueH,"2014-10-09 12:30:31.138",200,653,12974,false,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,52,1111
"Home-BATCH-ADMIN 1-3",2014-10-09_12-29,training.sailis.sa.gov.au,161,https://training.sailis.sa.gov.au/home/auth/login?redirect=aHR0cDovLzEyNy4wLjAuMTo4MDg1L2hvbWUvYmF0Y2hhZG1pbi9ob21l&messages=BaSeNPMoMdSseQHjDCxsGnCKFeDeXhTd,"2014-10-09 12:30:31.429",200,653,12913,false,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,53,1015
"Home-BATCH-ADMIN 1-5",2014-10-09_12-29,training.sailis.sa.gov.au,337,https://training.sailis.sa.gov.au/home/auth/login?redirect=aHR0cDovLzEyNy4wLjAuMTo4MDg1L2hvbWUvYmF0Y2hhZG1pbi9ob21l&messages=oaKSYQqjAMZBZyxiKhzdNYHjxFZCTnGM,"2014-10-09 12:30:31.930",200,653,12974,false,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,54,950
"Home-BATCH-ADMIN 1-4",2014-10-09_12-29,training.sailis.sa.gov.au,166,https://training.sailis.sa.gov.au/home/auth/login?redirect=aHR0cDovLzEyNy4wLjAuMTo4MDg1L2hvbWUvYmF0Y2hhZG1pbi9ob21l&messages=eLBfDceGFyUgCOhhUErMoFYBQSIcbDLK,"2014-10-09 12:30:32.272",200,653,12974,false,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,55,3266
"Home-BATCH-ADMIN 1-7",2014-10-09_12-29,training.sailis.sa.gov.au,1717,https://training.sailis.sa.gov.au/home/auth/login?redirect=aHR0cDovLzEyNy4wLjAuMTo4MDg1L2hvbWUvYmF0Y2hhZG1pbi9ob21l&messages=cwQwrsZIXQaXEGkJvaXxhKEbBWzUnqSN,"2014-10-09 12:30:32.877",200,653,12974,false,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,56,3903
"Home-BATCH-ADMIN 1-8",2014-10-09_12-29,training.sailis.sa.gov.au,732,https://training.sailis.sa.gov.au/home/auth/login?redirect=aHR0cDovLzEyNy4wLjAuMTo4MDg1L2hvbWUvYmF0Y2hhZG1pbi9ob21l&messages=xkzAAwCOIqiFLYewGfPuIHYvwknkTBWT,"2014-10-09 12:30:36.056",200,653,12974,false,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,57,1480
"Home-BATCH-ADMIN 1-6",2014-10-09_12-29,training.sailis.sa.gov.au,1574,https://training.sailis.sa.gov.au/home/auth/login?redirect=aHR0cDovLzEyNy4wLjAuMTo4MDg1L2hvbWUvYmF0Y2hhZG1pbi9ob21l&messages=RrLyqVozGScrDaFyITLQAhAOHMsYQtWI,"2014-10-09 12:30:35.204",200,653,12974,false,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,58,2555
"Home-BATCH-ADMIN 1-9",2014-10-09_12-29,training.sailis.sa.gov.au,618,https://training.sailis.sa.gov.au/home/auth/login?redirect=aHR0cDovLzEyNy4wLjAuMTo4MDg1L2hvbWUvYmF0Y2hhZG1pbi9ob21l&messages=reXwjyQweCptshxxGJHnbwcocOnggbaz,"2014-10-09 12:30:36.436",200,653,12974,false,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,59,1601
"Home-BATCH-ADMIN 1-10",2014-10-09_12-29,training.sailis.sa.gov.au,271,https://training.sailis.sa.gov.au/home/auth/login?redirect=aHR0cDovLzEyNy4wLjAuMTo4MDg1L2hvbWUvYmF0Y2hhZG1pbi9ob21l&messages=RowrvXRngqDTtlqBIdIoVCKcXEqKiyvU,"2014-10-09 12:30:37.760",200,653,12974,false,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,60,855
