thread_name,ts_string,target,latency,URL,timestamp,response_code,sample_id,bytes,result,func_name,sample_name,message,type,id,response_time
"Home-Login 1-2",2014-10-09_12-29,training.sailis.sa.gov.au,634,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:29:10.747",200,329,57433,true,Login,"home-login >> Clerical Support (General Privileges) 2",OK,text,2,3020
"Home-Login 1-6",2014-10-09_12-29,training.sailis.sa.gov.au,694,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:29:12.450",200,333,57035,true,Login,"home-login >> Clerical Support (General Privileges) 6",OK,text,3,3201
"Home-Login 1-3",2014-10-09_12-29,training.sailis.sa.gov.au,23004,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:29:11.384",200,330,57311,true,Login,"home-login >> Clerical Support (General Privileges) 3",OK,text,6,26946
"Home-Login 1-1",2014-10-09_12-29,training.sailis.sa.gov.au,22873,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:29:10.570",200,328,57433,true,Login,"home-login >> Clerical Support (General Privileges) 1",OK,text,7,28002
"Home-Login 1-7",2014-10-09_12-29,training.sailis.sa.gov.au,24170,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:29:12.979",200,334,20490,true,Login,"home-login >> Valuer-Assistant (General Privileges) 1",OK,text,8,25770
"Home-Login 1-9",2014-10-09_12-29,training.sailis.sa.gov.au,23197,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:29:14.753",200,336,19623,true,Login,"home-login >> Valuer-Assistant (General Privileges) 3",OK,text,9,24940
"Home-Login 1-5",2014-10-09_12-29,training.sailis.sa.gov.au,23891,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:29:12.220",200,332,57035,true,Login,"home-login >> Clerical Support (General Privileges) 5",OK,text,10,27958
"Home-WorkBox 1-7",2014-10-09_12-29,training.sailis.sa.gov.au,2507,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:30:06.507",200,577,56769,true,Workbox,"Home Workbox >> 100%_WB_USER(WorkBox)",OK,text,29,3079
"Home-WorkBox 1-2",2014-10-09_12-29,training.sailis.sa.gov.au,3124,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:30:07.066",200,576,56769,true,Workbox,"Home Workbox >> 50%_WB_USER(WorkBox)",OK,text,34,4219
"Home-WorkBox 1-3",2014-10-09_12-29,training.sailis.sa.gov.au,3569,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:30:06.786",200,576,56769,true,Workbox,"Home Workbox >> 50%_WB_USER(WorkBox)",OK,text,35,4667
"Home-WorkBox 1-4",2014-10-09_12-29,training.sailis.sa.gov.au,3476,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:30:06.880",200,576,56769,true,Workbox,"Home Workbox >> 50%_WB_USER(WorkBox)",OK,text,36,4574
"Home-WorkBox 1-8",2014-10-09_12-29,training.sailis.sa.gov.au,3441,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:30:09.004",200,577,56769,true,Workbox,"Home Workbox >> 100%_WB_USER(WorkBox)",OK,text,41,4022
"Home-WorkBox 1-9",2014-10-09_12-29,training.sailis.sa.gov.au,3670,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:30:08.842",200,577,56769,true,Workbox,"Home Workbox >> 100%_WB_USER(WorkBox)",OK,text,42,4373
"Home-WorkBox 1-2",2014-10-09_12-29,training.sailis.sa.gov.au,3140,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:30:11.883",200,577,56769,true,Workbox,"Home Workbox >> 100%_WB_USER(WorkBox)",OK,text,45,3977
"Home-WorkBox 1-4",2014-10-09_12-29,training.sailis.sa.gov.au,2935,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:30:12.246",200,577,56769,true,Workbox,"Home Workbox >> 100%_WB_USER(WorkBox)",OK,text,46,3854
"Home-WorkBox 1-3",2014-10-09_12-29,training.sailis.sa.gov.au,3112,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:30:12.254",200,577,56769,true,Workbox,"Home Workbox >> 100%_WB_USER(WorkBox)",OK,text,47,3960
"Home-WorkBox 1-2",2014-10-09_12-29,training.sailis.sa.gov.au,3246,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:30:16.590",200,654,56769,true,Workbox,"Home Workbox >> 75%_WB_USER(WorkBox)",OK,text,48,3769
"Home-WorkBox 1-4",2014-10-09_12-29,training.sailis.sa.gov.au,3232,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:30:16.766",200,654,56769,true,Workbox,"Home Workbox >> 75%_WB_USER(WorkBox)",OK,text,49,3927
"Home-WorkBox 1-3",2014-10-09_12-29,training.sailis.sa.gov.au,2933,https://training.sailis.sa.gov.au/home/workbox,"2014-10-09 12:30:17.161",200,654,56769,true,Workbox,"Home Workbox >> 75%_WB_USER(WorkBox)",OK,text,50,3622
"Home-BATCH-ADMIN 1-4",2014-10-09_12-29,training.sailis.sa.gov.au,166,https://training.sailis.sa.gov.au/home/auth/login?redirect=aHR0cDovLzEyNy4wLjAuMTo4MDg1L2hvbWUvYmF0Y2hhZG1pbi9ob21l&messages=eLBfDceGFyUgCOhhUErMoFYBQSIcbDLK,"2014-10-09 12:30:32.272",200,653,12974,false,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,55,3266
"Home-BATCH-ADMIN 1-7",2014-10-09_12-29,training.sailis.sa.gov.au,1717,https://training.sailis.sa.gov.au/home/auth/login?redirect=aHR0cDovLzEyNy4wLjAuMTo4MDg1L2hvbWUvYmF0Y2hhZG1pbi9ob21l&messages=cwQwrsZIXQaXEGkJvaXxhKEbBWzUnqSN,"2014-10-09 12:30:32.877",200,653,12974,false,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,56,3903
"Home-BATCH-ADMIN 1-8",2014-10-09_15-07,training.sailis.sa.gov.au,1360,https://training.sailis.sa.gov.au/home/batchadmin/home,"2014-10-09 15:08:06.717",200,653,154564,true,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,63,4308
"Home-BATCH-ADMIN 1-5",2014-10-09_15-07,training.sailis.sa.gov.au,1391,https://training.sailis.sa.gov.au/home/batchadmin/home,"2014-10-09 15:08:05.963",200,653,154484,true,BatchAdmin,"Home-BatchAdmin >>  Batch Admin",OK,text,64,5061
